posicao;filme;estudio;arrecadacao;publico_total
1;Frozen II;Walt Disney Studios;124172602;7932193
2;Jumanji: Próxima Fase;Sony Pictures;52172670;3228331
3;Sonic - O Filme;Paramount Pictures;44623847;2972719
4;Arlequina em Aves de Rapina;Warner Bros.;30340680;1960619
5;1917;Universal Studios;23379814;1199482
6;Bad Boys Para Sempre;Sony Pictures;20389386;1286090
7;Dolittle;Universal Studios;13684909;852266
8;Maria e João - O Conto das Bruxas;Imagem Filmes;11837782;782501
9;O Homem Invisível;Universal Studios;9874329;589710
10;Dois Irmãos: Uma Jornada Fantástica;Walt Disney Studios;7428002;443975
11;Adoráveis Mulheres;Sony Pictures;6736763;358577
12;Um Espião Animal;20th Century Fox;6221174;396630
13;Jojo Rabbit;Fox Searchlight Pictures;3726900;180476
14;O Escândalo;Paris Filmes;2923997;125678
15;Bloodshot;Sony Pictures;2393217;144307
16;Luta por Justiça;Warner Bros.;2356890;101665
17;Ameaça Profunda;20th Century Fox;2194235;133063
18;Os Órfãos;Universal Studios;1830223;117178
19;O Chamado da Floresta;20th Century Fox;1676071;106273
20;A Hora da Sua Morte;Diamond Films;1626255;104456
